Location,Gender,Age,Occupation,Type,Heard_of_3DCover,Willingness_Usage,Material_Preference,Easy to disassemble,Sturdy and durable,Aesthetic,Lightweight,Main Issue,Price_Preference
Jiangsu,M,31-40,Technical/R&D,AK,"Heard, Never Brought",Daily usage,Soft Cover,5,2,5,5,Too expensive,800
Inner Mongolia,M,31-40,HR,AK,"Heard, Never Brought",Daily usage,Foam Wrapping,3,4,3,3,Too expensive,500
Xinjiang,M,26-30,Others,AK,"Heard, Never Brought",Daily usage,Soft Cover,4,4,4,4,Too expensive,500
Guizhou,M,31-40,Technical/R&D,AK,"Heard, Never Brought",Daily usage,Soft Cover,1,5,5,3,Visually unappealling (e.g. protruding knee),1000
Shandong,M,26-30,Technical/R&D,AK,"Heard, Never Brought",Daily usage,Hard Cover,0,3,5,4,Too expensive,3000
Guangdong,F,18-25,Technical/R&D,AK,"Heard, Never Brought",Daily usage,Soft Cover,5,5,5,5,Not Practical,2000
Zhejiang,M,31-40,Technical/R&D,AK,Brought,Daily usage,Soft Cover,5,3,5,5,Not easy to dissemble,10000
Shanxi,M,41-50,Others,Double AK,(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped),(Skipped)
Guangdong,M,18-25,Production worker,AK,"Heard, Never Brought",For socializing purpose,Hard Cover,2,3,4,3,Too expensive,3000
Hunan,M,18-25,Others,AK,"Heard, Never Brought",For socializing purpose,Hard Cover,5,5,5,5,Immature Tech,5000
Zhejiang,M,31-40,Professionals,BK,"Heard, Never Brought",Others,Soft Cover,5,5,5,5,Others,10000
Jiangxi,M,31-40,Professionals,AK,"Heard, Never Brought",Daily usage,Soft Cover,3,3,5,2,Too expensive,2000
Zhejiang,M,31-40,Technical/R&D,AK,"Heard, Never Brought",Daily usage,Soft Cover,5,5,5,5,Not durable,2000
Zhejiang,F,51-60,Administration/Logistics,BK,Never Heard,Others,Soft Cover,5,5,5,5,Others,15000
Shandong,F,26-30,Others,AK,"Heard, Never Brought",Daily usage,Soft Cover,5,5,4,5,Too expensive,500
Chongqing,F,41-50,Others,AK,"Heard, Never Brought",Others,Soft Cover,5,5,5,5,Not easy to dissemble,1000
